Name,Ticker,Description,Change (%),Volume (24H),Market Cap,Holders,PriceETH,PriceBTC,PriceUSD
Tether USD,USDT,Tether gives you the joint benefits of open blockchain technology and traditional currency by converting your cash into a stable digital currency equivalent.,0.44,193841713896,57921308915,3398698,2.45e-4,2e-5,0.9997
Livepeer Token,LPT,A decentralized video streaming protocol that empowers developers to build video enabled applications backed by a competitive market of economically incentivized service providers.,4.2,16404637,822173357,2545830,0.008535000000000001,6.889999999999999e-4,34.760000000000005
CarLive Chain,IOV,CarLive Chain is a vertical application of blockchain technology in the field of vehicle networking. It provides services to 1.3 billion vehicle users worldwide and the trillion-dollar-scale automobile consumer market.,74.48,410,5274685,1845150,0,0,8e-4
USD Coin,USDC,"USDC is a fully collateralized US Dollar stablecoin developed by CENTRE, the open source project with Circle being the first of several forthcoming issuers.",-0.03,3966225747,16274274780,930718,2.45e-4,2e-5,0.9983
XENON,XNN,"Xenon, an alternative blockchain forked from the EOS project,",NA,0,619,746566,0,0,0
OMG Network,OMG,OmiseGO (OMG) is a public Ethereum-based financial technology for use in mainstream digital wallets,13.84,653136876,1471652877,695884,0.0025610000000000003,2.0700000000000002e-4,10.43
ChainLink Token,LINK,"A blockchain-based middleware, acting as a bridge between cryptocurrency smart contracts, data feeds, APIs and traditional bank account payments.",13.239999999999998,2229937246,19861139846,529108,0.011385,9.19e-4,46.37
VIN,VIN,"Complete vehicle data all in one marketplace - making automotive more secure, transparent and accessible by all",44.449999999999996,283344,3122174,478880,1e-6,0,0.0053
DATAcoin,DATA,Streamr is building the world’s leading Marketplace and decentralised Network for real-time data.,9.9,8610486,94826301,450869,3.3e-5,3e-6,0.1358
BAT,BAT,The Basic Attention Token is the new token for the digital advertising industry.,7.24,361256558,1848730061,415596,3.0199999999999997e-4,2.4e-5,1.23
Dai Stablecoin,DAI,"Multi-Collateral Dai, brings a lot of new and exciting features, such as support for new CDP collateral types and Dai Savings Rate.",0.15000000000000002,1355522234,4595584267,378754,2.46e-4,2e-5,1
Amber,AMB,"Combining high-tech sensors, blockchain protocol and smart contracts, we are building a universally verifiable, community-driven ecosystem to assure the quality, safety & origins of products.",9.01,1161520,10356201,376516,1.8e-5,1e-6,0.0714
UCASH,UCASH,"Aims to build a global network of retail and individual converters providing cash to digital conversions to and from our ecosystem, helping people worldwide to unbank.",-37.339999999999996,0,3517396,319072,0,0,3e-4
BNB,BNB,"Binance aims to build a world-class crypto exchange, powering the future
of crypto finance.",8.860000000000001,4667437282,93553373175,315536,0.14790000000000003,0.011933,602.37
GSENetwork,GSE,,-4.53,8682,1345065,305895,0,0,1e-4
Uniswap,UNI,"UNI token served as governance token for Uniswap protocol with 1 billion UNI have been minted at genesis. 60% of the UNI genesis supply is allocated to Uniswap community members and remaining for team, investors and advisors.",11.15,1041866446,20847879629,244656,0.009826,7.93e-4,40.02
OCoin,OCN,ODYSSEY’s mission is to build the next-generation decentralized sharing economy & Peer to Peer Ecosystem.,8.29,1679075,13428379,235356,0,0,0.0013
Compound USD Coin,cUSDC,"Compound is an open-source protocol for algorithmic, efficient Money Markets on the Ethereum blockchain.",-0.33999999999999997,393810372,3987407736,218808,5e-6,0,0.022
HEX,HEX,"HEX.com averages 25% APY interest recently. HEX virtually lends value from stakers to non-stakers as staking reduces supply. The launch ends Nov. 19th, 2020 when HEX stakers get credited ~200B HEX. HEX's total supply is now ~350B. Audited 3 times, 2 security, and 1 economics.",-0.31,38448028,11048443112,211241,1.6000000000000003e-5,1e-6,0.0637
ZRX,ZRX,"0x is an open, permissionless protocol allowing for tokens to be traded on the Ethereum blockchain.",10.68,296973827,1436007583,185407,4.1700000000000005e-4,3.4e-5,1.7
Sai Stablecoin v1.0,SAI,"Sai is an asset-backed, hard currency for the 21st century. The first decentralized stablecoin on the Ethereum blockchain.",39.97,67606,89932395,178232,0.006213999999999999,5.01e-4,25.310000000000002
Maximine Coin,MXM,A Transparent Distributed Pool Revenue System,NA,71,378241,170635,0,0,1e-4
Compound,COMP,Compound governance token,5.56,314346471,4066303776,163047,0.194192,0.015667,790.91
EthLend,LEND,"Aave is an Open Source and Non-Custodial protocol to earn interest on deposits & borrow assets. It also features access to highly innovative flash loans, which let developers borrow instantly and easily; no collateral needed. With 16 different assets, 5 of which are stablecoins.",22.64,195357,351855695,146853,0.0014659999999999999,1.1800000000000001e-4,5.970000000000001
XMAX,XMX,Blockchain Game Development Ecosystem,2.9899999999999998,1304138,16239394,146080,0,0,6e-4
Decentralized Accessible Content Chain,DACC,Decentralized Accessible Content Chain (DACC) is a platform that will revolutionize the digital content and media industry.,80.03,1154144,4041030,143805,0,0,3e-4
FTI,FTI,FTI is an official encrypted digital currency in the FansTime ecosystem based on the launch of FansTime Chain.,23.72,3713703,4554082,141299,0,0,7e-4
ElectrifyAsia,ELEC,ELECTRIFY aims to be a retail electricity marketplace in Southeast-Asia addressing the need for transparency and security in the consumption of energy,18.04,90240,2106200,127370,1e-6,0,0.0039
IONChain Token,IONC,"Through IONChain Protocol, IONChain will serve as the link between IoT devices, supporting decentralized peer-to-peer application interaction between devices.",NA,21420,2285052,123510,1e-6,0,0.0053
realchain,RCT,Real chain providing authentication services to the public to reduce fraud in the transaction of consumer goods and collectibles.,NA,4893,92661,123432,0,0,2e-4
Gifto,GTO,Decentralized Universal Gifting Protocol.,13.629999999999999,11653370,41146019,121883,1.5000000000000002e-5,1e-6,0.0616
LiteXToken,LXT,LITEX is a completely decentralized payment ecosystem for cryptocurrency.,1.47,2190448,5380081,121139,1e-6,0,0.004
EnjinCoin,ENJ,Customizable cryptocurrency and virtual goods platform for gaming.,7.659999999999999,180487658,1994184194,119461,5.23e-4,4.2000000000000004e-5,2.13
Olive,OLE,"Olive is a live streaming platform that provides a blockchain solution
to the anchor and the audience and allows better utilization
of internet resources and rewards",NA,0,482970,113832,0,0,0.0017000000000000001
